title,ingredients,directions,NER
Easy Salad,"[""1 large can crushed pineapple, drained"", ""1 large can cherry, strawberry or blueberry pie filling"", ""1 can Eagle Brand condensed milk"", ""1 (8 oz.) container Cool Whip""]","[""Crushed nuts may also be added.""]","[""pineapple"", ""cherry"", ""milk""]"
Aunt Lee'S Punch,"[""1 qt. milk"", ""2 c. sugar"", ""1 small can frozen orange juice""]","[""Pour milk in bowl."", ""Pour thawed orange juice into milk and beat."", ""Gradually add sugar."", ""Freeze."", ""When you thaw punch, add 2 quarts ginger ale.""]","[""milk"", ""sugar"", ""orange juice""]"
Chocolate Eclair Dessert,"[""2 small pkg. instant French Vanilla pudding mix"", ""3 c. milk"", ""1 (8 oz.) container Cool Whip"", ""1 box graham crackers""]","[""Mix pudding and milk together in a large mixing bowl. Fold in Cool Whip until all one color. Line a 9 x 13-inch pan with graham crackers. Pour half of pudding mixture on top of graham crackers. Add another layer of graham crackers then pudding. Top with a final graham cracker layer. Top with chocolate frosting. Chill before serving.""]","[""milk"", ""graham crackers""]"
Fruit Slush,"[""1 (16 oz.) can crushed pineapple (in its own juice)"", ""3 ripe bananas"", ""5 c. orange juice""]","[""Mash the bananas."", ""Add the pineapple and orange juice."", ""Pour into 9 x 9-inch baking pan (or ice cube trays) and freeze."", ""Take it out of the freezer 15 minutes before serving so it can thaw to a slushy stage."", ""Great as a breakfast dish or as an after school snack.""]","[""pineapple"", ""bananas"", ""orange juice""]"
Heavenly Fluff,"[""1 (1 lb.) carton small curd cottage cheese"", ""1 medium can crushed pineapple, drained"", ""1 (3 oz.) Jell-O (any color)"", ""1 (9 oz.) Cool Whip""]","[""Mix all ingredients together; chill in a classy glass bowl.""]","[""cottage cheese"", ""pineapple""]"
Fruit Salad,"[""1 can chunky mixed fruit"", ""1 can chunk pineapple"", ""1 can mandarin oranges"", ""1 pkg. instant French vanilla pudding""]","[""Mix all together."", ""Let set overnight in Frigidaire.""]","[""pineapple"", ""mandarin oranges""]"
Puddles(Candy)  ,"[""1 can Eagle Brand milk"", ""2 large Hershey bars, broken up"", ""1 c. whole pecans""]","[""Melt together the milk and Hershey bars. Take off stove and stir in pecans."", ""Drop by teaspoonfuls on waxed paper."", ""Let chill.""]","[""milk"", ""pecans""]"
Fudgsicles,"[""1 pkg. instant pudding (chocolate)"", ""2 1/2 c. milk""]","[""Mix as directed on pudding package."", ""Pour into Tupperware Ice Tups or popsicle containers."", ""Freeze."", ""Yields 12 Fudgsicles.""]","[""chocolate"", ""milk""]"
Orange Sherbet,"[""6 Nehi orange drinks or 1 (2 liter) bottle orange pop"", ""1 can Eagle Brand milk"", ""1 can crushed pineapple""]","[""Mix all together real good, then pour in ice cream freezer. Freeze as you would ice cream.""]","[""orange"", ""milk"", ""pineapple""]"
Orange Drink,"[""1 c. orange juice"", ""1 Tbsp. sugar"", ""1/4 to 1/2 c. dried milk"", ""3 to 4 ice cubes""]","[""Blend all ingredients until creamy looking.""]","[""orange juice"", ""sugar"", ""milk""]"
Snicker Bar Salad,"[""3 apples"", ""3 bananas"", ""3 Snicker candy bars"", ""1 (8 oz.) carton Cool Whip""]","[""Dice apples with peeling on."", ""Slice bananas and the refrigerated candy bars into bite size pieces."", ""Fold in Cool Whip.""]","[""apples"", ""bananas""]"
Sugar-Free Apple Pie,"[""4 c. diced apples"", ""1 pkg. sugar-free instant vanilla pudding"", ""1 1/2 c. apple juice"", ""spices to taste"", ""2 pie crusts""]","[""Combine ingredients."", ""Bake at 400\u00b0 for 15 minutes; reduce heat to 350\u00b0 and bake until done.""]","[""apples"", ""sugar"", ""apple juice""]"
Orange Blossom Cream,"[""2 Tbsp. sugar"", ""1 c. orange juice, chilled"", ""1 tall can evaporated milk, chilled""]","[""Dissolve sugar in orange juice."", ""Whip evaporated milk until stiff."", ""Combine with juice; mix well."", ""Serve immediately.""]","[""sugar"", ""orange juice"", ""milk""]"
Nannie'S Apple-Cranberry Casserole,"[""2 c. chopped apples"", ""1 c. whole cranberries"", ""3/4 c. sugar""]","[""Mix ingredients and put in baking dish, then make topping.""]","[""apples"", ""cranberries"", ""sugar""]"
Pink Lady Day Salad,"[""1 c. crushed pineapple, drained"", ""1 large pkg. strawberry Jell-O"", ""1 small pkg. mini marshmallows"", ""1 c. cottage cheese""]","[""Drain pineapple; save juice."", ""Add enough liquid to dissolve Jell-O."", ""Mix Jell-O as directed."", ""Place over medium heat, stir until marshmallows melt and cool for 10 minutes."", ""Add remaining ingredients."", ""Pour into mold and chill.""]","[""pineapple"", ""strawberry"", ""marshmallows"", ""cottage cheese""]"
Peanut Butter Candy,"[""1 c. peanut butter"", ""1 pkg. white chocolate"", ""2/3 c. peanuts""]","[""Melt white chocolate in double boiler over gently boiling water, stirring continually."", ""When melted, add peanuts and peanut butter."", ""Pour into pan and cool one hour."", ""Cut into squares.""]","[""peanut butter"", ""white chocolate"", ""peanuts""]"
Fruit Punch,"[""1 pkg. tropical punch Kool-Aid"", ""1 large can pineapple juice""]","[""Mix Kool-Aid according to directions."", ""Add pineapple juice. Chill and serve.""]","[""pineapple juice""]"
Pralines,"[""1 2/3 c. sugar"", ""1 small can evaporated milk"", ""2 c. pecans"", ""additional 1/3 c. sugar""]","[""Mix first 3 ingredients and bring them to a boil."", ""Brown the 1/3 cup sugar; add to first mixture while cooking to soft ball stage."", ""Drop on oil paper.""]","[""sugar"", ""milk"", ""pecans"", ""sugar""]"
Sourdough Culture,"[""1 c. milk"", ""1 c. flour""]","[""Allow milk to stand in a warm place for 24 hours."", ""Using a wooden spoon, stir in flour."", ""Allow to stand in a warm place until it forms bubbles and becomes very sour."", ""When ready, place in a large, loosely covered bowl and place in refrigerator."", ""Never use metal bowls or utensils when working with sourdough.""]","[""milk"", ""flour""]"
Cranberry Relish,"[""1 bag cranberries"", ""4 or 5 apples"", ""2 or 3 oranges, diced"", ""1 c. sugar"", ""1 large box dry cherry or strawberry jello""]","[""Prepare the cranberries and apples in a food processor or blender."", ""Mix together the oranges, sugar and dry Jell-O, then combine all ingredients together."", ""It is best to let the relish set a couple of days before you use it."", ""The relish can also be frozen.""]","[""cranberries"", ""apples"", ""oranges"", ""sugar"", ""cherry""]"
Snicker Salad,"[""1 (8 oz.) tub Cool Whip"", ""2 apples"", ""2 Snicker candy bars"", ""2 bananas""]","[""Put the Cool Whip in a bowl."", ""Next, core the apples, but leave the peeling on the apples."", ""Dice the apples and put into the Cool Whip."", ""Cut up the Snicker bars and slice the bananas."", ""Combine all with the Cool Whip and mix together."", ""Serve.""]","[""apples"", ""bananas""]"
Fruit  Dip,"[""1 (8 oz.) Cool Whip"", ""orange juice"", ""sugar to taste""]","[""Gradually beat orange juice into Cool Whip until the mixture is creamy, but not thin."", ""Add sugar to taste."", ""Serve with fresh or canned fruits.""]","[""orange juice"", ""sugar""]"
Low Calorie Banana Pudding,"[""1 small box sugar-free instant pudding mix"", ""2 c. 2% milk"", ""1 pkg. graham crackers"", ""2 small bananas""]","[""Beat first 2 ingredients for 2 to 3 minutes on low and set in refrigerator."", ""Place graham crackers in a gallon size plastic Ziploc bag."", ""Crush with rolling pin."", ""Place about half of crumbs in bottom of container."", ""Cover with 1 sliced banana."", ""Then cover with pudding."", ""Slice 1 more small banana over pudding."", ""Sprinkle with about 1/2 to 3/4 cup of cracker crumbs."", ""Very good and low calorie. Makes 6 servings.""]","[""sugar"", ""milk"", ""graham crackers"", ""bananas""]"
Pear Honey,"[""7 lb. pears"", ""5 lb. sugar""]","[""Weigh 7 pounds pears."", ""Grind pears with coarse chopper blade. Add sugar and cook until pears are clear and thick."", ""Add 1 large can of crushed pineapple and cook 15 minutes or until thick."", ""Seal while hot.""]","[""pears"", ""sugar""]"
Chocolate Eclair Cake,"[""2 pkg. instant French vanilla pudding"", ""3 1/2 c. milk"", ""1 (8 oz.) Cool Whip"", ""1 box graham crackers""]","[""Butter a 9 x 13-inch pan."", ""Mix pudding, milk and Cool Whip. Beat 1 minute."", ""Put layer of whole graham crackers in pan."", ""Put pudding over layer."", ""Then add another layer of graham crackers. Put rest of pudding over this, then put last layer of graham crackers."", ""Cool in refrigerator for 2 hours, then frost with Betty Crocker double Dutch frosting."", ""Refrigerate several hours or overnight.""]","[""milk"", ""graham crackers""]"
Spaghetti And Noodles,"[""4 c. noodles"", ""1 jar spaghetti sauce (8 oz. jar)""]","[""Cook noodles 15 to 20 minutes or until soft."", ""Cook sauce in pan 10 to 15 minutes."", ""Drain noodles and mix together.""]","[""noodles""]"
Grape Juice,"[""2 c. whole grapes"", ""1/4 to 1/2 c. sugar""]","[""Put grapes into each quart jar."", ""Add sugar to each quart jar. Pour boiling water in each jar, leaving 1/2-inch space; seal. Process in boiling water for 15 minutes."", ""Let stand 6 weeks before using to get full flavor of grapes; strain and chill.""]","[""grapes"", ""sugar""]"
Pecan Roll,"[""3 c. sugar"", ""1/2 c. corn syrup"", ""1 c. evaporated milk"", ""1 1/2 c. pecans""]","[""Mix sugar, syrup and milk; cook to softball stage. Take off heat and add pecans. Beat until it starts to thicken. Pour into buttered pan. Cut into pieces.""]","[""sugar"", ""corn syrup"", ""milk"", ""pecans""]"
Hawaiian Fudge,"[""2 1/2 c. sugar"", ""1 c. rich milk or cream"", ""1 small can crushed pineapple, drained"", ""1 c. pecans"", ""few drops green food coloring""]","[""Combine sugar, milk or cream and well drained pineapple. Bring to a boil over medium heat and cook until mixture reaches the soft ball stage. Remove from heat and add pecans and coloring. Let cool slightly and then beat until creamy."", ""Pour into a greased loaf pan."", ""Cool and cut into squares."", ""Yields 18 squares.""]","[""sugar"", ""milk"", ""pineapple"", ""pecans""]"
Ritz Delights,"[""1 c. chopped pecans"", ""1 c. chopped dates"", ""Ritz crackers"", ""1 can Eagle Brand milk""]","[""Cook dates, pecans and milk on low heat, stirring constantly. Cook approximately 3 minutes."", ""Spread on Ritz crackers (approximately 60 to 70)."", ""Bake at 350\u00b0 for 6 minutes.""]","[""pecans"", ""dates"", ""crackers"", ""milk""]"
Glazed Fruit Dessert,"[""1 (3.4 oz.) pkg. instant vanilla pudding"", ""1 (20 oz.) can pineapple chunks, drained (save juice)"", ""1 (11 oz.) can mandarin oranges, drained"", ""2 bananas, sliced""]","[""Combine pudding and pineapple juice, folding in pineapple, oranges and bananas."", ""Refrigerate."", ""May top with Cool Whip.""]","[""pineapple"", ""mandarin oranges"", ""bananas""]"
Will'S Punch,"[""1 can unsweetened pineapple juice"", ""2 packs tropical punch kool-aid"", ""2 c. sugar""]","[""Pour pineapple juice, kool-aid and sugar in a gallon pitcher. Mix together well."", ""Fill the rest with water."", ""Put punch in freezer a few hours before serving, so the mixture will be slushy.""]","[""pineapple juice"", ""sugar""]"
Stewed Apples,"[""6 apples, pared"", ""1/2 c. sugar""]","[""Core apples and cut in wedges."", ""Put in saucepan and add water to come to almost top of apples, but not over."", ""Pour sugar over top without stirring."", ""Cook over medium heat until apples are tender, about 20 minutes.""]","[""apples"", ""sugar""]"
Chocolate Covered Pretzels,"[""small hard pretzels"", ""chocolate candy wafers""]","[""Microwave chocolate wafers in microwave until melted on medium setting."", ""Dip pretzels."", ""Place on wax paper on cookie sheet. Refrigerate until set."", ""Can decorate with colored sugar before chocolate sets.""]","[""pretzels"", ""chocolate""]"
Chocolate Eclair Cake,"[""2 pkg. graham crackers (unbroken)"", ""2 pkg. French vanilla instant pudding"", ""3 c. milk"", ""1 (8 oz.) carton whipped topping, thawed""]","[""Grease 6 x 12-inch pan and line with unbroken crackers on bottom and sides. Mix pudding mix, milk and thawed whipped topping. Pour 1/2 mixture over crackers in pan. Top with additional crackers. Pour remaining pudding on top and finish with more crackers.""]","[""graham crackers"", ""milk""]"
Fruit Salad,"[""2 diced apples"", ""2 sliced bananas"", ""2 diced oranges"", ""seedless grapes as desired, cut in half""]","[""Mix together; add salad dressing.""]","[""apples"", ""bananas"", ""oranges"", ""grapes""]"
Snack Mix,"[""12 oz. can Spanish peanuts"", ""1 lb. raisins"", ""1 lb. plain M&M's candies""]","[""In a large bowl, mix together."", ""Store tightly covered.""]","[""peanuts"", ""raisins""]"
Fruit Slush,"[""2 ripe bananas"", ""1 (16 oz.) can crushed pineapple (undrained)"", ""1 (6 oz.) can frozen orange juice"", ""2 c. 7-Up or ginger ale"", ""1 c. sugar"", ""mandarin oranges, cherries or any other berries to taste""]","[""Mix all together."", ""Pour into small Dixie cups and freeze. Remove 1 hour before serving."", ""Good!""]","[""bananas"", ""pineapple"", ""orange juice"", ""sugar"", ""oranges""]"
Edible Play Dough,"[""1 c. peanut butter"", ""1 1/2 c. powdered milk"", ""1 c. honey or Karo syrup""]","[""When cutting cheese cake, use a dental floss instead of a knife."", ""Works real well!""]","[""peanut butter"", ""powdered milk"", ""honey""]"
Easy Party Punch,"[""1 (46 oz.) can unsweetened pineapple juice"", ""1 (46 oz.) can apple juice"", ""2 (28 oz.) bottles 7-Up (or ginger ale), chilled""]","[""Freeze pineapple juice"", ""and"", ""apple juice in their cans. One hour before"", ""serving, set out the frozen cans."", ""When ready to serve, mix"", ""juices with chilled 7-Up."", ""No additional ice is needed for the punch."", ""Yield: 30 cups.""]","[""pineapple juice"", ""apple juice""]"
Madress Cooler,"[""3 parts orange juice"", ""1 part cranberry juice""]","[""Fill tall glass with juice; top with a splash of lemon-lime soda."", ""Serve over ice with an orange slice.""]","[""orange juice"", ""cranberry juice""]"
Chocolate Eclair Cake,"[""1 1/2 lb. graham crackers"", ""2 (3 oz.) pkg. French vanilla instant pudding"", ""8 oz. Cool Whip"", ""3 1/2 c. milk""]","[""Butter 9 x 13-inch pan."", ""Line bottom of pan with crackers. Mix pudding with milk; beat 2 minutes."", ""Stir in Cool Whip."", ""Put 1/2 mixture over crackers."", ""Layer crackers and rest of pudding. Final layer of crackers."", ""Chill in refrigerator while making frosting.""]","[""graham crackers"", ""milk""]"
Baked Hostess Ham,"[""1/2 c. brown sugar"", ""1/2 c. undiluted frozen orange juice""]","[""Lay ham on heavy foil and pour mixture over it. Stick 6 to 8 whole cloves in ham."", ""Fold foil to seal."", ""Bake at 350\u00b0 for 30 minutes per pound. When done, punch holes in bottom of foil to let liquid drain out.""]","[""brown sugar"", ""orange juice""]"
Banana Clay,"[""ripe bananas""]","[""Peel bananas and freeze them in an airtight container."", ""Remove from freezer when frozen solid and blend in blender with a little water or orange juice.""]","[""bananas""]"
Cranberry Salad,"[""2 oranges"", ""2 apples"", ""1 lb. cranberries"", ""1 c. crushed pineapple"", ""1 3/4 c. sugar"", ""1 c. pecans"", ""1 (3 oz.) pkg. strawberry or cherry flavor Jell-O""]","[""Grind rind of 1 orange."", ""Grind oranges, apples and cranberries; mix."", ""Add sugar."", ""Prepare Jell-O according to directions, using 1/4 less water."", ""Add Jell-O and nuts to the cranberry mixture; refrigerate until set."", ""This freezes well and will keep almost indefinitely in the freezer."", ""Serves 12.""]","[""oranges"", ""apples"", ""cranberries"", ""pineapple"", ""sugar"", ""pecans"", ""strawberry""]"
Fruit Medley,"[""6 oranges"", ""4 apples"", ""2 c. grapes"", ""1 (16 oz.) can pineapple (in own juice)"", ""4 Tbsp. raisins"", ""2 pears""]","[""Mix well."", ""Mix 1 package vanilla, reduced calorie, pudding \""dry\"" with fruit (family size)."", ""Stir well."", ""Weight Watchers count as 1/2 cup equals 1 fruit and 5 optional calories.""]","[""oranges"", ""apples"", ""grapes"", ""pineapple"", ""raisins"", ""pears""]"
Peanut Butter Play Dough(Play Dough You Can Eat.)  ,"[""1 c. peanut butter"", ""1 1/2 c. instant powdered milk"", ""3 Tbsp. honey""]","[""Mix all ingredients until smooth."", ""Let kids make critters of their choice out of the mixture."", ""Decorate with peanuts, raisins, chocolate chips or coconut and eat.""]","[""peanut butter"", ""milk"", ""honey""]"
Poor Man'S Ambrosia,"[""5 or 6 large apples"", ""1 can crushed pineapple"", ""1 (6 oz.) can orange juice"", ""1/2 tsp. coconut or banana flavoring""]","[""Peel and grate apples."", ""Add pineapple, orange juice, 1 can of water and flavoring to apples."", ""Mix well."", ""Let stand for several hours before serving."", ""Keeps well in refrigerator several days. (May add a little sugar or Sweet 'N Low.)""]","[""apples"", ""pineapple"", ""orange juice"", ""coconut""]"
German Chocolate Cake,"[""1 German chocolate cake mix""]","[""Bake cake according to directions on box.""]","[""chocolate cake""]"
Peanut Butter Fudge,"[""2 c. granulated sugar"", ""3/4 c. milk"", ""3 Tbsp. peanut butter""]","[""Boil"", ""together\tingredients"", ""until"", ""mixture"", ""forms soft ball. Drop"", ""a"", ""little"", ""dab"", ""of mixture in cold water."", ""Remove from fire and"", ""add 3 tablespoons peanut butter."", ""Mix until it begins to thicken."", ""Pour into butter-greased pan, 9 x 13-inches."", ""Let set until mixture is solid.""]","[""sugar"", ""milk"", ""peanut butter""]"
Happy Apples,"[""sliced apples"", ""peanut butter"", ""raisins""]","[""Slice the apples. Spread peanut butter over."", ""Make happy faces with raisins.""]","[""apples"", ""peanut butter"", ""raisins""]"
Cracker Candy,"[""24 single saltine crackers, crushed"", ""6 Tbsp. peanut butter"", ""2 c. sugar"", ""2/3 c. evaporated milk""]","[""Crush crackers; boil sugar and mix exactly 4 minutes."", ""Remove from heat immediately and quickly stir in crackers and peanut butter."", ""Drop by spoonfuls on wax paper."", ""Allow to cool and enjoy.""]","[""crackers"", ""peanut butter"", ""sugar"", ""milk""]"
Apple-Orange Marmalade,"[""8 oranges"", ""5 lb. apples, cored and chopped fine"", ""4 lb. sugar""]","[""Peel oranges, remove white membrane; boil rinds until tender in water to cover."", ""Let cool, then grind and chop fine."", ""Divide peeled oranges in sections, combine with apples; add water to barely cover."", ""Cook over low heat one-half hour."", ""Add sugar and orange rind."", ""Boil until thick."", ""Pour into sterilized jelly glasses."", ""When cool, seal with paraffin."", ""Makes 10 or more glasses.""]","[""oranges"", ""apples"", ""sugar""]"
Frozen Cranberry Cups,"[""1 c fresh or frozen cranberries"", ""1/4 c sugar"", ""8 oz crushed pineapple, drained"", ""1/2 c Cool Whip"", ""Chopped pecans""]","[""In food processor or blender, combine berries, sugar and pineapple until"", ""finely chopped.""]","[""cranberries"", ""sugar"", ""pineapple"", ""pecans""]"
Tomato Gravy,"[""1 qt. tomato juice"", ""2 Tbsp. sugar"", ""1 c. milk"", ""3 Tbsp. flour""]","[""Heat tomato juice and sugar almost to a boil."", ""Dissolve flour in milk; mix to a thin paste and add to tomato juice."", ""Stir until smooth and thick, cooking thoroughly.""]","[""tomato juice"", ""sugar"", ""milk"", ""flour""]"
Low-Fat Summer Delight,"[""chocolate Cool Whip"", ""chocolate graham crackers""]","[""For a low-fat, quick, cool summer treat, spread chocolate Cool Whip between 2 chocolate graham crackers.""]","[""chocolate"", ""chocolate""]"
Virginia'S Beans,"[""2 cans each, drained"", ""Snow beans (white limas)"", ""Kidney beans"", ""Pork and beans"", ""1-1/2 lb. hamburger, browned""]","[""For each can of beans, add 2 Tbsp. mustard, 2 Tbsp. vinegar, 3/4 c. brown sugar.""]","[""beans"", ""Kidney beans"", ""beans"", ""hamburger""]"
Fruit Punch,"[""2 pkg. strawberry Kool Aid"", ""1 tall can pineapple juice"", ""2 c sugar""]","[""Put Kool Aid in container and mix as directions."", ""Add pineapple juice and and sugar."", ""Chill until ready to use. 4 Makes 2 gallons.""]","[""strawberry"", ""pineapple juice"", ""sugar""]"
Fruit Salad,"[""3 bananas"", ""5 oranges"", ""grapes (seedless)"", ""5 apples"", ""1 to 2 c. sugar""]","[""Slice and dice all fruit."", ""Mix all ingredients and refrigerate.""]","[""bananas"", ""oranges"", ""grapes"", ""apples"", ""sugar""]"
Mud Dessert,"[""chocolate cake mix"", ""2 boxes instant chocolate pudding"", ""12 oz. Cool Whip"", ""4 Heath bars, crushed""]","[""Make and bake cake mix as directed on box."", ""Make pudding as directed."", ""Layer in large bowl, first cake (cut in small pieces), pudding, Cool Whip, then Heath bars."", ""Repeat layers, then chill.""]","[""chocolate cake"", ""chocolate pudding""]"
Quick Chocolate Mousse,"[""1 c. milk"", ""1 pkg. (4 serving size) instant chocolate pudding"", ""8 oz. tub Cool Whip""]","[""Pour milk into large bowl."", ""Add pudding mix."", ""Beat with whisk until well blended (1 to 2 minutes)."", ""Let stand 5 minutes."", ""Stir in whipped topping."", ""Refrigerate 1 hour.""]","[""milk"", ""chocolate pudding""]"
Fresh Cranberry Orange Relish,"[""1 (12 oz.) pkg. fresh or frozen cranberries"", ""1 medium orange"", ""3/4 to 1 c. sugar""]","[""Slice unpeeled orange into eighths."", ""Remove seeds."", ""Place half the cranberries and half the orange slices in food processor container."", ""Process until mixture is evenly chopped."", ""Transfer to a bowl."", ""Repeat with remaining cranberries and orange slices. Stir in sugar to desired sweetness."", ""Store in refrigerator or freezer."", ""Makes about 2 1/2 cups.""]","[""cranberries"", ""orange"", ""sugar""]"
Kiddy Punch,"[""2 (12 oz.) cans frozen orange juice concentrate"", ""1 1/2 c. unsweetened pineapple juice"", ""4 c. apple juice""]","[""Mix orange juice according to directions. Then mix all together. Serve chilled.""]","[""orange juice"", ""pineapple juice"", ""apple juice""]"
Apple Pear Honey,"[""8 lb. pears"", ""8 lb. apples"", ""8 lb. sugar"", ""1 large can crushed pineapple""]","[""Cook approximately 30 minutes until it changes color."", ""Place in clean jars and seal.""]","[""pears"", ""apples"", ""sugar"", ""pineapple""]"
Microwave Parched Peanuts,"[""Peanut in shell""]","[""Put a thin to medium layer of peanuts in a microwaveable dish."", ""Set heat on highest setting and run for about 2 minutes. Take out of microwave (use an oven mitt or small towel to keep from getting burned)."", ""Stir peanuts very good and put back and run for 1 more minute."", ""Remove and stir again."", ""Then run for 1 more minute."", ""You can sample peanuts at various times and get the stage of parched peanuts you like best."", ""You may want to run for extra time if desired."", ""Peanuts will continue to cook some after removing from the microwave."", ""Cooking time 4 to 5 minutes.""]","[""Peanut""]"
Eclair Pie,"[""2 (3 3/4 oz.) pkg. French vanilla instant pudding mix"", ""1 medium carton Cool Whip"", ""graham crackers"", ""fudge chocolate canned icing""]","[""Mix pudding following package directions, using 1/4 cup less milk."", ""Stir in Cool Whip."", ""In a large oblong dish, place a layer of graham crackers close together on bottom."", ""Alternate layers of crackers and pudding until you have 3 layers of crackers and 2 of pudding."", ""Using fudge chocolate canned icing, spread over top of crackers."", ""Refrigerate to set.""]","[""graham crackers"", ""chocolate""]"
Three-Step Cake,"[""1 box German chocolate cake mix"", ""1 can Eagle Brand milk"", ""1 (12 oz.) carton Cool Whip"", ""4 reg.-sized Heath bars, crushed""]","[""Mix and bake cake according to directions, using a 9 x 13 inch baking pan. While hot, poke entire top with fork and spread Eagle Brand milk over top. Cool completely. Frost with Cool Whip and sprinkle with crushed Heath bars."", ""Refrigerate.""]","[""chocolate cake"", ""milk""]"
White Chocolate Candy,"[""16 oz. white chocolate"", ""3 c. ruffled potato chips"", ""1/2 c. chopped pecans""]","[""Melt chocolate in double boiler."", ""Then add 3 cups crushed potato chips to chocolate."", ""Add pecans."", ""Drop on wax paper to cool.""]","[""white chocolate"", ""potato chips"", ""pecans""]"
Almond Bark Cooky,"[""1 box Ritz crackers"", ""peanut butter"", ""Almond Bark""]","[""Put peanut butter between 2 Ritz crackers."", ""Use all crackers. Heat on low, 1 pkg. of Chocolate almond bark."", ""Do not add anything to bark."", ""Remove from heat."", ""Dip crackers in bark till coated evenly."", ""Place on foil to cool, about 1 hour."", ""You can use white almond bark for colors add several drops of food color.""]","[""crackers"", ""peanut butter""]"
Apple Salad,"[""4 lbs. grapes, mixed colors"", ""apple"", ""small crushed pineapple""]","[""Chop fruit, and mix to your taste.""]","[""grapes"", ""apple"", ""pineapple""]"
Cranberry Relish,"[""cranberries"", ""honey"", ""bananas (half the amount of cranberries)""]","[""Pick over and wash cranberries."", ""Put through food chopper using fine blade; mix in half as much mashed ripe banana."", ""Sweeten with honey and beat well."", ""Let stand for an hour or so before serving.""]","[""cranberries"", ""honey"", ""bananas""]"
Cranberry And Orange Relish,"[""1 small orange"", ""1/2 lb. cranberries, washed"", ""3/4 c. sugar""]","[""Cut 1 small orange in quarters; take out seeds and white inner membrane."", ""Grind in food chopper with 1/2 pound cranberries."", ""Put in bowl or other container and mix in 3/4 cup sugar."", ""Refrigerate for a few days to blend flavors.""]","[""orange"", ""cranberries"", ""sugar""]"
Rocky Road Candy,"[""2 (10 oz.) Hershey bars"", ""1 1/2 c. miniature marshmallows"", ""1/2 c. chopped pecans""]","[""Melt chocolate in covered top of double boiler over hot, not boiling, water."", ""Pour half of chocolate into buttered 8 x 10-inch pan."", ""Top with marshmallows."", ""Mix nuts into remaining chocolate and pour over marshmallows."", ""Refrigerate until firm."", ""Cut into squares."", ""Makes 15 to 20 large squares.""]","[""marshmallows"", ""pecans""]"
